title,price,original_price,discount_pct,seller,rating,reviews_count,shipping,url
Apple iPhone 15 Pro (512 GB) - Titânio Azul - Excelente (Recondicionado),5199.71,,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-pro-512-gb-titnio-azul-excelente-recondicionado/p/MLB2000129028#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=16&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB4866845925&sid=search
Apple iPhone 15 (128 GB) - Preto,5699.26,5699.0,,Iplace,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-128-gb-preto/p/MLB27172677#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=17&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB6518840332&sid=search
Apple iPhone 15 (256 GB) - Rosa,5999.99,,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-256-gb-rosa/p/MLB27172670#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=18&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB6044863516&sid=search
Apple iPhone 15 Pro Max (256 GB) - Titânio Preto,7499.99,,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-pro-max-256-gb-titnio-preto/p/MLB27172724#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=19&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB4814601549&sid=search
Apple iPhone 15 Pro (1 TB) - Titânio Preto - Excelente (Recondicionado),6499.9,,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-pro-1-tb-titnio-preto-excelente-recondicionado/p/MLB2000129700#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=20&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB4749685087&sid=search
Apple iPhone 15 (somente Esim) (128 Gb) - preto (Novo com caixa aberta),3669.9,,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-somente-esim-128-gb-preto-novo-com-caixa-aberta/p/MLB2059218730#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=21&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB4847098409&sid=search
Apple iPhone 15 Pro Max (somente Esim) (256 Gb) - Titânio natural - Excelente (Recondicionado),4999.49,,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-pro-max-somente-esim-256-gb-titnio-natural-excelente-recondicionado/p/MLB2059336658#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=22&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB4537404213&sid=search
Apple iPhone 15 Pro Max (1 TB) - Titânio Azul - Bom (Recondicionado),6899.11,,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-pro-max-1-tb-titnio-azul-bom-recondicionado/p/MLB2000058261#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=23&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB4833068489&sid=search
Apple iPhone 15 (somente Esim) (128 Gb) - preto - Bom (Recondicionado),3297.7,,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-somente-esim-128-gb-preto-bom-recondicionado/p/MLB2059218732#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=24&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB4640697767&sid=search
Apple iPhone 15 Pro Max (somente Esim) (256 Gb) - branco titânio,7999.84,,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-pro-max-somente-esim-256-gb-branco-titnio/p/MLB64091101#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=25&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB6611845284&sid=search
Apple iPhone 15 (256 GB) - Preto (Novo com caixa aberta),5099.0,,,Mobi Phone,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-256-gb-preto-novo-com-caixa-aberta/p/MLB2016209808#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=26&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB4871794929&sid=search
Apple iPhone 15 Pro (somente Esim) (128 Gb) - branco titânio - Excelente (Recondicionado),3990.51,,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-pro-somente-esim-128-gb-branco-titnio-excelente-recondicionado/p/MLB2059218750#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=27&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB7118794898&sid=search
Apple iPhone 15 Plus (512 GB) - Azul - Excelente (Recondicionado),5669.9,,,Trocafy,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-plus-512-gb-azul-excelente-recondicionado/p/MLB2000014761#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=28&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB5382515574&sid=search
Apple iPhone 15 Pro (256 GB) - Titânio Azul,7190.0,,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-pro-256-gb-titnio-azul/p/MLB27172712#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=29&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB6881919454&sid=search
Apple iPhone 15 Plus (somente Esim) (128 Gb) - Preto - Bom (Recondicionado),6285.82,6285.0,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-plus-somente-esim-128-gb-preto-bom-recondicionado/p/MLB2059326566#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=30&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB4598628075&sid=search
Apple iPhone 15 Pro Max (1 TB) - Titânio Azul (Novo com caixa aberta),11690.0,,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-pro-max-1-tb-titnio-azul-novo-com-caixa-aberta/p/MLB2016211688#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=31&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB5709690680&sid=search
Apple iPhone 15 Pro (256 GB) - Titânio Natural (Novo com caixa aberta),5690.0,,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-pro-256-gb-titnio-natural-novo-com-caixa-aberta/p/MLB2016211678#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=32&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB4850821875&sid=search
Apple iPhone 15 Pro Max (256 GB) - Titânio Natural - Excelente (Recondicionado),4489.47,,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-pro-max-256-gb-titnio-natural-excelente-recondicionado/p/MLB2000122364#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=33&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB4619207723&sid=search
Apple iPhone 15 Pro Max (512 GB) - Titânio Natural,8599.9,,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-pro-max-512-gb-titnio-natural/p/MLB27172722#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=34&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB4846473443&sid=search
Apple iPhone 15 Pro (512 GB) - Titânio Preto,8199.9,,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-pro-512-gb-titnio-preto/p/MLB27172702#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=35&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB6333905044&sid=search
Iphone 15 Plus 5g (128 Gb) Apple Premium Envio Expresso Top (Novo com caixa aberta),3986.66,,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/iphone-15-plus-5g-128-gb-apple-premium-envio-expresso-top/up/MLBU3766068680#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=36&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB6207267230&sid=search
Apple iPhone 15 Pro (somente Esim) (512 Gb) - preto titânio,8299.9,,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-pro-somente-esim-512-gb-preto-titnio/p/MLB64091318#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=37&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB4697975815&sid=search
Iphone 15 Pro 5g (256gb) Titânio Preto Envio Imediato (Novo com caixa aberta),5289.95,,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/iphone-15-pro-5g-256gb-titanio-preto-envio-imediato/up/MLBU3895497649#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=38&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB6618155442&sid=search
Apple iPhone 15 Pro Max (somente Esim) (512 Gb) - Titânio natural (Novo com caixa aberta),6299.9,,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-pro-max-somente-esim-512-gb-titnio-natural-novo-com-caixa-aberta/p/MLB2059326638#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=39&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB6999692276&sid=search
Apple Iphone 15 Pro Max 256gb Original 5g C/ Nfe + Brindes (Novo com caixa aberta),5805.6,,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-pro-max-256gb-original-5g-c-nfe--brindes/up/MLBU4195195212#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=40&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB7069165838&sid=search
Iphone 15 Pro Max (256gb) Original Envio Imediato + Brindes (Novo com caixa aberta),5839.0,,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/iphone-15-pro-max-256gb-original-envio-imediato--brindes/up/MLBU4069064537#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=41&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB6938313872&sid=search
Apple Iphone 15 Pro Max (256gb) Azul 5g Original Menor Preço (Novo com caixa aberta),6154.46,6154.0,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-pro-max-256gb-azul-5g-original-menor-preco/up/MLBU4022733956#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=42&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB6849824226&sid=search
Apple Iphone 15 Pro Max 5g (256gb) Branco Original C/ Nfe (Novo com caixa aberta),6572.03,6572.0,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-pro-max-5g-256gb-branco-original-c-nfe/up/MLBU4022834244#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=43&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB4715888655&sid=search
Apple iPhone 15 Pro Max 256gb Original 5g Garantia + Brindes (Novo com caixa aberta),5859.99,,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-pro-max-256gb-original-5g-garantia--brindes/up/MLBU4176729083#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=44&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB4831731535&sid=search
Apple Iphone 15 (128 Gb) Preto Original Garantia + Nfe (Novo com caixa aberta),4896.95,4896.0,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-128-gb-preto-original-garantia--nfe/up/MLBU4034614983#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=45&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB4732431407&sid=search
Apple Iphone 15 (128gb) Garantia + Nf + Brindes (Novo com caixa aberta),3587.77,,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-128gb-garantia--nf--brindes/up/MLBU4195199469#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=46&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB7086919690&sid=search
Apple Iphone 15 Pro 128gb Titânio Preto Garantia Original (Novo com caixa aberta),6453.82,6453.0,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-pro-128gb-titanio-preto-garantia-original/up/MLBU4194359442#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=47&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB4831272899&sid=search
Apple Iphone 15 Pro 5g 256gb Titânio Preto Original Garantia (Novo com caixa aberta),6068.83,6068.0,,,,,"Frete grátis
Frete grátis",https://www.mercadolivre.com.br/apple-iphone-15-pro-5g-256gb-titanio-preto-original-garantia/up/MLBU4190884570#polycard_client=search-desktop&be_origin=backend&search_layout=grid&position=48&type=product&tracking_id=e90d3f16-1880-4329-96da-72f68bef4e6c&wid=MLB7064293084&sid=search
